"","Entity","Code","Year","num_objects","cum_num_objects"
"403","United Kingdom","GBR",2017,7,90
"404","United States","USA",2017,286,2759
"405","Canada","CAN",2018,5,62
"406","China","CHN",2018,95,476
"407","France","FRA",2018,2,111
"408","Germany","DEU",2018,12,88
"409","India","IND",2018,10,109
"410","Italy","ITA",2018,1,41
"411","Japan","JPN",2018,19,248
"412","Russia","RUS",2018,23,3536
"413","United Kingdom","GBR",2018,12,102
"414","United States","USA",2018,190,2949
"415","Canada","CAN",2019,3,65
"416","China","CHN",2019,82,558
"417","France","FRA",2019,7,118
"418","Germany","DEU",2019,11,99
"419","India","IND",2019,10,119
"420","Italy","ITA",2019,3,44
"421","Japan","JPN",2019,21,269
"422","Russia","RUS",2019,30,3566
"423","United Kingdom","GBR",2019,14,116
"424","United States","USA",2019,362,3311
"425","Canada","CAN",2020,6,71
"426","China","CHN",2020,73,631
"427","France","FRA",2020,4,122
"428","Germany","DEU",2020,5,104
"429","India","IND",2020,3,122
"430","Italy","ITA",2020,1,45
"431","Japan","JPN",2020,9,278
"432","Russia","RUS",2020,24,3590
"433","United Kingdom","GBR",2020,104,220
"434","United States","USA",2020,984,4295
"435","Canada","CAN",2021,11,82
"436","China","CHN",2021,110,741
"437","France","FRA",2021,9,131
"438","Germany","DEU",2021,9,113
"439","India","IND",2021,5,127
"440","Italy","ITA",2021,7,52
"441","Japan","JPN",2021,24,302
"442","Russia","RUS",2021,21,3611
"443","United Kingdom","GBR",2021,289,509
"444","United States","USA",2021,1232,5527
"445","Canada","CAN",2022,9,91
"446","China","CHN",2022,182,923
"447","France","FRA",2022,10,141
"448","Germany","DEU",2022,5,118
"449","India","IND",2022,11,138
"450","Italy","ITA",2022,11,63
"451","Japan","JPN",2022,12,314
"452","Russia","RUS",2022,50,3661
"453","United Kingdom","GBR",2022,112,621
"454","United States","USA",2022,1939,7466
"455","Canada","CAN",2023,11,102
"456","China","CHN",2023,128,1051
"457","France","FRA",2023,10,151
"458","Germany","DEU",2023,2,120
"459","India","IND",2023,6,144
"460","Italy","ITA",2023,11,74
"461","Japan","JPN",2023,11,325
"462","Russia","RUS",2023,62,3723
"463","United Kingdom","GBR",2023,144,765
"464","United States","USA",2023,2166,9632
